A,0,0,1
A,0,1,2
A,0,2,2
A,0,3,2
A,0,4,2
A,0,5,2
A,0,6,2
A,0,7,122
B,0,0,6
B,0,1,67
B,0,2,76
B,0,3,755
B,0,4,7
B,0,5,87
B,0,6,57
B,0,7,6
B,0,8,65
B,0,9,675
A,1,0,34
A,1,1,3241
A,1,2,34
A,1,3,34
A,1,4,34
A,1,5,24
A,1,6,24
A,1,7,243
B,1,0,8
B,1,1,75
B,1,2,76
B,1,3,64
B,1,4,76
B,1,5,65
B,1,6,34
B,1,7,676
B,1,8,65
B,1,9,76
A,2,0,87
A,2,1,65
A,2,2,765
A,2,3,7898
A,2,4,678
A,2,5,5
A,2,6,987
A,2,7,8787
A,3,0,5
A,3,1,75
A,3,2,756
A,3,3,765
A,3,4,7
A,3,5,757
A,3,6,765
A,3,7,765
B,2,0,56
B,2,1,7
B,2,2,565
B,2,3,64
B,2,4,75
B,2,5,64
B,2,6,5
B,2,7,76
B,2,8,76
B,2,9,64
B,3,0,65
B,3,1,65
B,3,2,345
B,3,3,76
B,3,4,75
B,3,5,6
B,3,6,64
B,3,7,65
B,3,8,67
B,3,9,6
B,4,0,6
B,4,1,4
B,4,2,76
B,4,3,678
B,4,4,65
B,4,5,65
B,4,6,86
B,4,7,46
B,4,8,765
B,4,9,54
B,5,0,65
B,5,1,87
B,5,2,54
B,5,3,4343
B,5,4,76
B,5,5,97
B,5,6,64
B,5,7,43
B,5,8,8
B,5,9,89
B,6,0,53
B,6,1,87
B,6,2,65
B,6,3,43
B,6,4,8
B,6,5,5
B,6,6,87
B,6,7,5
B,6,8,768
B,6,9,35
B,7,0,75
B,7,1,53
B,7,2,67
B,7,3,45
B,7,4,56
B,7,5,6
B,7,6,43
B,7,7,543
B,7,8,76
B,7,9,54
A,4,0,765
A,4,1,75
A,4,2,765
A,4,3,5
A,4,4,675
A,4,5,75
A,4,6,45
A,4,7,75
A,5,0,765
A,5,1,654
A,5,2,65
A,5,3,9
A,5,4,45
A,5,5,85
A,5,6,5764
A,5,7,76
A,6,0,87
A,6,1,5
A,6,2,34
A,6,3,56
A,6,4,7867
A,6,5,876
A,6,6,45
A,6,7,7687
